Bits_Input,InputPower,Bits_Output,OutputPower
4.4375,9.99E-05,4.4375,0.000691386
4.453125,9.99E-05,4.453125,0.00061009
4.46875,9.99E-05,4.46875,0.000570079
4.484375,9.99E-05,4.484375,0.000542461
4.5,9.99E-05,4.5,0.000537599
4.515625,9.99E-05,4.515625,0.000563484
4.53125,9.99E-05,4.53125,0.000582173
4.546875,9.99E-05,4.546875,0.000571811
4.5625,9.99E-05,4.5625,0.000583552
4.578125,9.99E-05,4.578125,0.00058206
4.59375,9.99E-05,4.59375,0.00056828
4.609375,9.99E-05,4.609375,0.000552422
4.625,9.99E-05,4.625,0.000544009
4.640625,9.99E-05,4.640625,0.000535165
4.65625,9.99E-05,4.65625,0.000574897
4.671875,9.99E-05,4.671875,0.000663593
4.6875,9.99E-05,4.6875,0.00076959
4.703125,9.99E-05,4.703125,0.000875513
4.71875,9.99E-05,4.71875,0.000974018
4.734375,9.99E-05,4.734375,0.001117027
4.75,9.99E-05,4.75,0.001296605
4.765625,9.99E-05,4.765625,0.001524247
4.78125,9.99E-05,4.78125,0.001735196
4.796875,9.99E-05,4.796875,0.00187754
4.8125,9.99E-05,4.8125,0.00193978
4.828125,9.99E-05,4.828125,0.001987134
4.84375,9.99E-05,4.84375,0.002066401
4.859375,9.99E-05,4.859375,0.002168977
4.875,9.99E-05,4.875,0.002213661
4.890625,9.99E-05,4.890625,0.002189764
4.90625,9.99E-05,4.90625,0.002127431
4.921875,9.99E-05,4.921875,0.001982922
4.9375,9.99E-05,4.9375,0.001753688
4.953125,9.99E-05,4.953125,0.001566313
4.96875,9.99E-05,4.96875,0.001408358
4.984375,9.99E-05,4.984375,0.001288403
5,9.99E-05,5,0.001122077
5.015625,9.99E-05,5.015625,0.000915232
5.03125,9.99E-05,5.03125,0.000738763
5.046875,9.99E-05,5.046875,0.000587039
5.0625,9.99E-05,5.0625,0.000481748
5.078125,9.99E-05,5.078125,0.000426244
5.09375,9.99E-05,5.09375,0.00042417
5.109375,9.99E-05,5.109375,0.000446411
5.125,9.99E-05,5.125,0.000490377
5.140625,9.99E-05,5.140625,0.000518541
5.15625,9.99E-05,5.15625,0.000571092
5.171875,9.99E-05,5.171875,0.000635147
5.1875,9.99E-05,5.1875,0.000663048
5.203125,9.99E-05,5.203125,0.000679297
5.21875,9.99E-05,5.21875,0.000695057
5.234375,9.99E-05,5.234375,0.000697961
5.25,9.99E-05,5.25,0.000700739
5.265625,9.99E-05,5.265625,0.00068203
5.28125,9.99E-05,5.28125,0.000656722
5.296875,9.99E-05,5.296875,0.000649574
5.3125,9.99E-05,5.3125,0.000681717
5.328125,9.99E-05,5.328125,0.000703327
5.34375,9.99E-05,5.34375,0.000701232
5.359375,9.99E-05,5.359375,0.000687096
5.375,9.99E-05,5.375,0.000641616
5.390625,9.99E-05,5.390625,0.00061062
5.40625,9.99E-05,5.40625,0.000612667
5.421875,9.99E-05,5.421875,0.000633801
5.4375,9.99E-05,5.4375,0.000673508
5.453125,9.99E-05,5.453125,0.000749134
5.46875,9.99E-05,5.46875,0.00088436
5.484375,9.99E-05,5.484375,0.00103744
5.5,9.99E-05,5.5,0.001160093
5.515625,9.99E-05,5.515625,0.001222049
5.53125,9.99E-05,5.53125,0.001235209
5.546875,9.99E-05,5.546875,0.001235596
5.5625,9.99E-05,5.5625,0.001262773
5.578125,9.99E-05,5.578125,0.00131958
5.59375,9.99E-05,5.59375,0.001332169
5.609375,9.99E-05,5.609375,0.001300976
5.625,9.99E-05,5.625,0.001256614
5.640625,9.99E-05,5.640625,0.001246311
5.65625,9.99E-05,5.65625,0.001337107
5.671875,9.99E-05,5.671875,0.001445912
5.6875,9.99E-05,5.6875,0.001481214
5.703125,9.99E-05,5.703125,0.001492381
5.71875,9.99E-05,5.71875,0.001539524
5.734375,9.99E-05,5.734375,0.001700923
5.75,9.99E-05,5.75,0.001834847
5.765625,9.99E-05,5.765625,0.00190781
5.78125,9.99E-05,5.78125,0.001990946
5.796875,9.99E-05,5.796875,0.002066218
5.8125,9.99E-05,5.8125,0.002028361
5.828125,9.99E-05,5.828125,0.001941345
5.84375,9.99E-05,5.84375,0.001838457
5.859375,9.99E-05,5.859375,0.001708606
5.875,9.99E-05,5.875,0.001536927
5.890625,9.99E-05,5.890625,0.001383823
5.90625,9.99E-05,5.90625,0.001247645
5.921875,9.99E-05,5.921875,0.001090416
5.9375,9.99E-05,5.9375,0.000951578
5.953125,9.99E-05,5.953125,0.000849521
5.96875,9.99E-05,5.96875,0.000763327
5.984375,9.99E-05,5.984375,0.000707295
6,9.99E-05,6,0.000698012
6.015625,9.99E-05,6.015625,0.000691905
6.03125,9.99E-05,6.03125,0.000753101
6.046875,9.99E-05,6.046875,0.000894966
6.0625,9.99E-05,6.0625,0.001040775
6.078125,9.99E-05,6.078125,0.001140916
6.09375,9.99E-05,6.09375,0.001177827
6.109375,9.99E-05,6.109375,0.001213679
6.125,9.99E-05,6.125,0.001269877
6.140625,9.99E-05,6.140625,0.001322784
6.15625,9.99E-05,6.15625,0.001317472
6.171875,9.99E-05,6.171875,0.001253449
6.1875,9.99E-05,6.1875,0.001133936
6.203125,9.99E-05,6.203125,0.001047703
6.21875,9.99E-05,6.21875,0.000985196
6.234375,9.99E-05,6.234375,0.000930817
6.25,9.99E-05,6.25,0.000836892
6.265625,9.99E-05,6.265625,0.000732829
6.28125,9.99E-05,6.28125,0.000586948
6.296875,9.99E-05,6.296875,0.000437159
6.3125,9.99E-05,6.3125,0.000330154
6.328125,9.99E-05,6.328125,0.000260616
6.34375,9.99E-05,6.34375,0.000211252
6.359375,9.99E-05,6.359375,0.00015242
6.375,9.99E-05,6.375,9.27E-05
6.390625,9.99E-05,6.390625,4.98E-05
6.40625,9.99E-05,6.40625,2.55E-05
6.421875,9.99E-05,6.421875,1.58E-05
6.4375,9.99E-05,6.4375,1.85E-05
6.453125,9.99E-05,6.453125,3.22E-05
6.46875,9.99E-05,6.46875,5.74E-05
6.484375,9.99E-05,6.484375,9.11E-05
6.5,9.99E-05,6.5,0.000134884
6.515625,9.99E-05,6.515625,0.000184737
6.53125,9.99E-05,6.53125,0.000242644
6.546875,9.99E-05,6.546875,0.00026611
6.5625,9.99E-05,6.5625,0.000272279
6.578125,9.99E-05,6.578125,0.000270721
6.59375,9.99E-05,6.59375,0.000248201
6.609375,9.99E-05,6.609375,0.000213078
6.625,9.99E-05,6.625,0.000168851
6.640625,9.99E-05,6.640625,0.000140708
6.65625,9.99E-05,6.65625,0.000127166
6.671875,9.99E-05,6.671875,0.000122544
6.6875,9.99E-05,6.6875,0.000111129
6.703125,9.99E-05,6.703125,0.0001045
6.71875,9.99E-05,6.71875,0.0001032
6.734375,9.99E-05,6.734375,0.000115106
6.75,9.99E-05,6.75,0.000151264
6.765625,9.99E-05,6.765625,0.000195459
6.78125,9.99E-05,6.78125,0.000221725
6.796875,9.99E-05,6.796875,0.000242015
6.8125,9.99E-05,6.8125,0.000227099
6.828125,9.99E-05,6.828125,0.000186943
6.84375,9.99E-05,6.84375,0.000148751
6.859375,9.99E-05,6.859375,0.000137556
6.875,9.99E-05,6.875,0.000136436
6.890625,9.99E-05,6.890625,0.000126319
6.90625,9.99E-05,6.90625,9.54E-05
6.921875,9.99E-05,6.921875,7.56E-05
6.9375,9.99E-05,6.9375,7.64E-05
6.953125,9.99E-05,6.953125,7.86E-05
6.96875,9.99E-05,6.96875,7.15E-05
6.984375,9.99E-05,6.984375,6.53E-05
7,9.99E-05,7,6.75E-05
7.015625,9.99E-05,7.015625,8.63E-05
7.03125,9.99E-05,7.03125,0.000102676
7.046875,9.99E-05,7.046875,0.000107565
7.0625,9.99E-05,7.0625,0.000116768
7.078125,9.99E-05,7.078125,0.000143362
7.09375,9.99E-05,7.09375,0.000178679
7.109375,9.99E-05,7.109375,0.000187565
7.125,9.99E-05,7.125,0.00017096
7.140625,9.99E-05,7.140625,0.000161481
7.15625,9.99E-05,7.15625,0.000139712
7.171875,9.99E-05,7.171875,0.000104977
7.1875,9.99E-05,7.1875,8.67E-05
7.203125,9.99E-05,7.203125,7.91E-05
7.21875,9.99E-05,7.21875,7.89E-05
7.234375,9.99E-05,7.234375,8.73E-05
7.25,9.99E-05,7.25,9.70E-05
7.265625,9.99E-05,7.265625,0.000101311
7.28125,9.99E-05,7.28125,0.000115093
7.296875,9.99E-05,7.296875,0.000136009
7.3125,9.99E-05,7.3125,0.000143502
7.328125,9.99E-05,7.328125,0.000156869
7.34375,9.99E-05,7.34375,0.000163199
7.359375,9.99E-05,7.359375,0.000158785
7.375,9.99E-05,7.375,0.000149778
7.390625,9.99E-05,7.390625,0.000131217
7.40625,9.99E-05,7.40625,0.000128029
7.421875,9.99E-05,7.421875,0.000172558
7.4375,9.99E-05,7.4375,0.00022763
7.453125,9.99E-05,7.453125,0.000269989
7.46875,9.99E-05,7.46875,0.000305217
7.484375,9.99E-05,7.484375,0.000371927
7.5,9.99E-05,7.5,0.000462286
7.515625,9.99E-05,7.515625,0.000536797
