Bits,InputPower,OutputPower,DelayBit,OutputPowerWithoutDelay,FiberLength,
3.5,9.99E-07,6.29E-08,,5.31E-08,60,
3.515625,9.99E-07,2.98E-08,,5.34E-08,60,
3.53125,9.99E-07,1.00E-07,,5.29E-08,60,
3.546875,9.99E-07,1.51E-07,,5.36E-08,60,
3.5625,9.99E-07,9.56E-08,,5.44E-08,60,
3.578125,9.99E-07,1.82E-08,,5.52E-08,60,
3.59375,9.99E-07,2.24E-08,,5.74E-08,60,
3.609375,9.99E-07,9.55E-08,,6.06E-08,60,
3.625,9.99E-07,1.77E-07,,6.10E-08,60,
3.640625,9.99E-07,1.26E-07,,6.26E-08,60,
3.65625,9.99E-07,4.00E-08,,6.23E-08,60,
3.671875,9.99E-07,2.37E-08,,6.19E-08,60,
3.6875,9.99E-07,3.41E-08,,5.78E-08,60,
3.703125,9.99E-07,7.88E-08,,5.72E-08,60,
3.71875,9.99E-07,1.27E-07,,5.55E-08,60,
3.734375,9.99E-07,1.04E-07,,5.50E-08,60,
3.75,9.99E-07,5.91E-08,,5.43E-08,60,
3.765625,9.99E-07,2.69E-08,,5.53E-08,60,
3.78125,9.99E-07,3.30E-08,,5.63E-08,60,
3.796875,9.99E-07,9.27E-08,,5.91E-08,60,
3.8125,9.99E-07,9.55E-08,,6.04E-08,60,
3.828125,9.99E-07,5.03E-08,,6.27E-08,60,
3.84375,9.99E-07,7.28E-08,,6.33E-08,60,
3.859375,9.99E-07,9.26E-08,,6.42E-08,60,
3.875,9.99E-07,3.31E-08,,6.41E-08,60,
3.890625,9.99E-07,3.08E-08,,6.32E-08,60,
3.90625,9.99E-07,9.83E-08,,6.25E-08,60,
3.921875,9.99E-07,1.22E-07,,6.05E-08,60,
3.9375,9.99E-07,5.95E-08,,5.93E-08,60,
3.953125,9.99E-07,6.19E-08,,5.99E-08,60,
3.96875,9.99E-07,6.31E-08,,5.89E-08,60,
3.984375,9.99E-07,4.88E-08,,6.31E-08,60,
4,9.99E-07,3.38E-08,,6.61E-08,60,
4.015625,9.99E-07,7.74E-08,,7.04E-08,60,
4.03125,9.99E-07,1.55E-07,,7.27E-08,60,
4.046875,9.99E-07,1.12E-07,,7.40E-08,60,
4.0625,9.99E-07,3.87E-08,,7.17E-08,60,
4.078125,9.99E-07,2.00E-08,,7.28E-08,60,
4.09375,9.99E-07,5.65E-08,,7.01E-08,60,
4.109375,9.99E-07,1.40E-07,,6.84E-08,60,
4.125,9.99E-07,1.63E-07,,6.43E-08,60,
4.140625,9.99E-07,7.86E-08,,6.19E-08,60,
4.15625,9.99E-07,1.75E-08,,6.10E-08,60,
4.171875,9.99E-07,3.63E-08,,6.39E-08,60,
4.1875,9.99E-07,9.66E-08,,6.55E-08,60,
4.203125,9.99E-07,1.12E-07,,6.78E-08,60,
4.21875,9.99E-07,9.06E-08,,6.99E-08,60,
4.234375,9.99E-07,5.68E-08,,7.29E-08,60,
4.25,9.99E-07,2.95E-08,,7.32E-08,60,
4.265625,9.99E-07,5.62E-08,,7.29E-08,60,
4.28125,9.99E-07,9.35E-08,,7.01E-08,60,
4.296875,9.99E-07,7.66E-08,,6.84E-08,60,
4.3125,9.99E-07,5.04E-08,,6.61E-08,60,
4.328125,9.99E-07,7.82E-08,,6.53E-08,60,
4.34375,9.99E-07,1.04E-07,,6.35E-08,60,
4.359375,9.99E-07,4.52E-08,,6.49E-08,60,
4.375,9.99E-07,2.48E-08,,6.59E-08,60,
4.390625,9.99E-07,1.02E-07,,6.82E-08,60,
4.40625,9.99E-07,1.43E-07,,6.93E-08,60,
4.421875,9.99E-07,1.09E-07,,7.33E-08,60,
4.4375,9.99E-07,3.08E-08,,7.15E-08,60,
4.453125,9.99E-07,2.38E-08,,7.03E-08,60,
4.46875,9.99E-07,8.56E-08,,6.78E-08,60,
4.484375,9.99E-07,1.25E-07,,6.80E-08,60,
4.5,9.99E-07,9.06E-08,,6.55E-08,60,
4.515625,9.99E-07,5.97E-08,,6.47E-08,60,
4.53125,9.99E-07,2.89E-08,,6.40E-08,60,
4.546875,9.99E-07,4.29E-08,,6.41E-08,60,
4.5625,9.99E-07,8.80E-08,,6.55E-08,60,
4.578125,9.99E-07,1.12E-07,,6.88E-08,60,
4.59375,9.99E-07,8.59E-08,,6.93E-08,60,
4.609375,9.99E-07,2.85E-08,,7.19E-08,60,
4.625,9.99E-07,5.16E-08,,7.04E-08,60,
4.640625,9.99E-07,8.12E-08,,6.97E-08,60,
4.65625,9.99E-07,5.91E-08,,6.45E-08,60,
4.671875,9.99E-07,6.58E-08,,6.40E-08,60,
4.6875,9.99E-07,7.74E-08,,6.10E-08,60,
4.703125,9.99E-07,7.93E-08,,6.27E-08,60,
4.71875,9.99E-07,2.72E-08,,6.29E-08,60,
4.734375,9.99E-07,5.97E-08,,6.66E-08,60,
4.75,9.99E-07,9.80E-08,,6.81E-08,60,
4.765625,9.99E-07,6.34E-08,,7.02E-08,60,
4.78125,9.99E-07,6.60E-08,,6.96E-08,60,
4.796875,9.99E-07,7.08E-08,,7.04E-08,60,
4.8125,9.99E-07,4.42E-08,,6.71E-08,60,
4.828125,9.99E-07,3.71E-08,,6.45E-08,60,
4.84375,9.99E-07,8.21E-08,,6.03E-08,60,
4.859375,9.99E-07,1.04E-07,,5.94E-08,60,
4.875,9.99E-07,9.15E-08,,5.79E-08,60,
4.890625,9.99E-07,3.79E-08,,5.96E-08,60,
4.90625,9.99E-07,2.68E-08,,5.92E-08,60,
4.921875,9.99E-07,8.64E-08,,6.24E-08,60,
4.9375,9.99E-07,1.14E-07,,6.10E-08,60,
4.953125,9.99E-07,9.67E-08,,6.30E-08,60,
4.96875,9.99E-07,3.79E-08,,6.01E-08,60,
4.984375,9.99E-07,2.83E-08,,5.93E-08,60,
5,9.99E-07,7.71E-08,,5.64E-08,60,
5.015625,9.99E-07,1.09E-07,,5.71E-08,60,
5.03125,9.99E-07,6.90E-08,,5.50E-08,60,
5.046875,9.99E-07,5.10E-08,,5.75E-08,60,
5.0625,9.99E-07,4.29E-08,,5.93E-08,60,
5.078125,9.99E-07,6.56E-08,,6.24E-08,60,
5.09375,9.99E-07,9.66E-08,,6.19E-08,60,
5.109375,9.99E-07,4.55E-08,,6.39E-08,60,
5.125,9.99E-07,5.73E-08,,6.26E-08,60,
5.140625,9.99E-07,9.71E-08,,6.36E-08,60,
5.15625,9.99E-07,7.59E-08,,6.04E-08,60,
5.171875,9.99E-07,2.85E-08,,6.07E-08,60,
5.1875,9.99E-07,5.29E-08,,5.99E-08,60,
5.203125,9.99E-07,1.19E-07,,6.23E-08,60,
5.21875,9.99E-07,1.14E-07,,6.37E-08,60,
5.234375,9.99E-07,4.85E-08,,6.67E-08,60,
5.25,9.99E-07,1.76E-08,,6.74E-08,60,
5.265625,9.99E-07,7.71E-08,,7.13E-08,60,
5.28125,9.99E-07,1.32E-07,,7.00E-08,60,
5.296875,9.99E-07,8.49E-08,,6.83E-08,60,
5.3125,9.99E-07,3.73E-08,,6.39E-08,60,
5.328125,9.99E-07,3.47E-08,,6.37E-08,60,
5.34375,9.99E-07,6.32E-08,,6.11E-08,60,
5.359375,9.99E-07,1.04E-07,,6.39E-08,60,
5.375,9.99E-07,8.30E-08,,6.42E-08,60,
5.390625,9.99E-07,5.34E-08,,6.88E-08,60,
5.40625,9.99E-07,3.00E-08,,6.85E-08,60,
5.421875,9.99E-07,6.58E-08,,6.97E-08,60,
5.4375,9.99E-07,1.06E-07,,6.64E-08,60,
5.453125,9.99E-07,6.03E-08,,6.57E-08,60,
5.46875,9.99E-07,5.82E-08,,6.21E-08,60,
5.484375,9.99E-07,7.60E-08,,6.23E-08,60,
5.5,9.99E-07,3.72E-08,,6.07E-08,60,
5.515625,9.99E-07,5.99E-08,,6.20E-08,60,
5.53125,9.99E-07,1.10E-07,,6.51E-08,60,
5.546875,9.99E-07,8.14E-08,,6.63E-08,60,
5.5625,9.99E-07,4.18E-08,,6.50E-08,60,
5.578125,9.99E-07,6.37E-08,,6.39E-08,60,
5.59375,9.99E-07,6.66E-08,,6.12E-08,60,
5.609375,9.99E-07,5.67E-08,,5.89E-08,60,
5.625,9.99E-07,9.87E-08,,5.65E-08,60,
5.640625,9.99E-07,8.80E-08,,5.58E-08,60,
5.65625,9.99E-07,3.58E-08,,5.95E-08,60,
5.671875,9.99E-07,3.29E-08,,6.03E-08,60,
5.6875,9.99E-07,1.09E-07,,6.29E-08,60,
5.703125,9.99E-07,1.23E-07,,6.16E-08,60,
5.71875,9.99E-07,6.53E-08,,6.24E-08,60,
5.734375,9.99E-07,3.25E-08,,6.07E-08,60,
5.75,9.99E-07,4.15E-08,,5.89E-08,60,
5.765625,9.99E-07,1.20E-07,,5.54E-08,60,
5.78125,9.99E-07,1.27E-07,,5.75E-08,60,
5.796875,9.99E-07,5.08E-08,,5.77E-08,60,
5.8125,9.99E-07,3.06E-08,,6.27E-08,60,
5.828125,9.99E-07,7.11E-08,,6.14E-08,60,
5.84375,9.99E-07,1.04E-07,,6.51E-08,60,
5.859375,9.99E-07,8.44E-08,,6.22E-08,60,
5.875,9.99E-07,4.85E-08,,6.42E-08,60,
5.890625,9.99E-07,3.85E-08,,5.74E-08,60,
5.90625,9.99E-07,7.63E-08,,5.97E-08,60,
5.921875,9.99E-07,9.26E-08,,5.48E-08,60,
5.9375,9.99E-07,4.87E-08,,6.25E-08,60,
5.953125,9.99E-07,5.80E-08,,6.21E-08,60,
5.96875,9.99E-07,8.89E-08,,6.90E-08,60,
5.984375,9.99E-07,4.92E-08,,6.34E-08,60,
6,9.99E-07,4.18E-08,,6.60E-08,60,
6.015625,9.99E-07,1.03E-07,,5.74E-08,60,
6.03125,9.99E-07,9.79E-08,,6.17E-08,60,
6.046875,9.99E-07,4.23E-08,,5.53E-08,60,
