Bits_Input,InputPower,Bits_Output,OutputPower
6.5625,9.99E-04,6.5625,0.000791424
6.578125,9.99E-04,6.578125,0.000333687
6.59375,9.99E-04,6.59375,0.000344486
6.609375,9.99E-04,6.609375,0.000744316
6.625,9.99E-04,6.625,0.001289111
6.640625,9.99E-04,6.640625,0.002096252
6.65625,9.99E-04,6.65625,0.003243453
6.671875,9.99E-04,6.671875,0.004348635
6.6875,9.99E-04,6.6875,0.00514916
6.703125,9.99E-04,6.703125,0.005312855
6.71875,9.99E-04,6.71875,0.004993296
6.734375,9.99E-04,6.734375,0.004623936
6.75,9.99E-04,6.75,0.004310214
6.765625,9.99E-04,6.765625,0.0041516
6.78125,9.99E-04,6.78125,0.004067934
6.796875,9.99E-04,6.796875,0.003867147
6.8125,9.99E-04,6.8125,0.003500773
6.828125,9.99E-04,6.828125,0.002844973
6.84375,9.99E-04,6.84375,0.001880811
6.859375,9.99E-04,6.859375,0.001328111
6.875,9.99E-04,6.875,0.001223491
6.890625,9.99E-04,6.890625,0.001184694
6.90625,9.99E-04,6.90625,1.21E-03
6.921875,9.99E-04,6.921875,1.48E-03
6.9375,9.99E-04,6.9375,2.48E-03
6.953125,9.99E-04,6.953125,4.23E-03
6.96875,9.99E-04,6.96875,5.78E-03
6.984375,9.99E-04,6.984375,6.89E-03
7,9.99E-04,7,7.30E-03
7.015625,9.99E-04,7.015625,6.34E-03
7.03125,9.99E-04,7.03125,0.004107322
7.046875,9.99E-04,7.046875,0.001610331
7.0625,9.99E-04,7.0625,0.000292839
7.078125,9.99E-04,7.078125,0.000667895
7.09375,9.99E-04,7.09375,0.002621502
7.109375,9.99E-04,7.109375,0.005646853
7.125,9.99E-04,7.125,0.008536437
7.140625,9.99E-04,7.140625,0.009844689
7.15625,9.99E-04,7.15625,0.009234783
7.171875,9.99E-04,7.171875,0.007303785
7.1875,9.99E-04,7.1875,4.82E-03
7.203125,9.99E-04,7.203125,2.66E-03
7.21875,9.99E-04,7.21875,1.11E-03
7.234375,9.99E-04,7.234375,3.31E-04
7.25,9.99E-04,7.25,5.04E-04
7.265625,9.99E-04,7.265625,0.001377364
7.28125,9.99E-04,7.28125,0.002348522
7.296875,9.99E-04,7.296875,0.0032659
7.3125,9.99E-04,7.3125,0.004275905
7.328125,9.99E-04,7.328125,0.005257678
7.34375,9.99E-04,7.34375,0.00646503
7.359375,9.99E-04,7.359375,0.007059077
7.375,9.99E-04,7.375,0.006626026
7.390625,9.99E-04,7.390625,0.006160238
7.40625,9.99E-04,7.40625,0.006227723
7.421875,9.99E-04,7.421875,0.006726444
7.4375,9.99E-04,7.4375,0.007467943
7.453125,9.99E-04,7.453125,0.008109796
7.46875,9.99E-04,7.46875,0.008395604
7.484375,9.99E-04,7.484375,0.008825252
7.5,9.99E-04,7.5,0.009249959
7.515625,9.99E-04,7.515625,0.009258588
7.53125,9.99E-04,7.53125,0.008368102
7.546875,9.99E-04,7.546875,0.006524109
7.5625,9.99E-04,7.5625,0.004430961
7.578125,9.99E-04,7.578125,0.003204729
7.59375,9.99E-04,7.59375,0.003722299
7.609375,9.99E-04,7.609375,0.00601031
7.625,9.99E-04,7.625,0.00944619
7.640625,9.99E-04,7.640625,0.013091057
7.65625,9.99E-04,7.65625,0.015316255
7.671875,9.99E-04,7.671875,0.015009754
7.6875,9.99E-04,7.6875,0.012090947
7.703125,9.99E-04,7.703125,0.007616386
7.71875,9.99E-04,7.71875,0.003616561
7.734375,9.99E-04,7.734375,0.001322485
7.75,9.99E-04,7.75,0.000770404
7.765625,9.99E-04,7.765625,0.001655794
7.78125,9.99E-04,7.78125,0.003088382
7.796875,9.99E-04,7.796875,0.004112452
7.8125,9.99E-04,7.8125,0.004541089
7.828125,9.99E-04,7.828125,0.004052702
7.84375,9.99E-04,7.84375,0.002866972
7.859375,9.99E-04,7.859375,0.00166161
7.875,9.99E-04,7.875,0.00069039
7.890625,9.99E-04,7.890625,0.000203836
7.90625,9.99E-04,7.90625,0.000509254
7.921875,9.99E-04,7.921875,0.001469073
7.9375,9.99E-04,7.9375,0.00283136
7.953125,9.99E-04,7.953125,0.004478533
7.96875,9.99E-04,7.96875,0.006416569
7.984375,9.99E-04,7.984375,0.008555865
8,9.99E-04,8,0.010238615
8.015625,9.99E-04,8.015625,0.011325812
8.03125,9.99E-04,8.03125,0.011916395
8.046875,9.99E-04,8.046875,0.011677079
8.0625,9.99E-04,8.0625,0.011156853
8.078125,9.99E-04,8.078125,0.010749437
8.09375,9.99E-04,8.09375,0.010471595
8.109375,9.99E-04,8.109375,0.010158312
8.125,9.99E-04,8.125,0.009176124
8.140625,9.99E-04,8.140625,0.007323536
8.15625,9.99E-04,8.15625,0.005070551
8.171875,9.99E-04,8.171875,0.002796637
8.1875,9.99E-04,8.1875,0.001148597
8.203125,9.99E-04,8.203125,0.000636252
8.21875,9.99E-04,8.21875,0.001483089
8.234375,9.99E-04,8.234375,0.003075115
8.25,9.99E-04,8.25,0.00452236
8.265625,9.99E-04,8.265625,0.004978893
8.28125,9.99E-04,8.28125,0.003991604
8.296875,9.99E-04,8.296875,0.002102799
8.3125,9.99E-04,8.3125,0.000409585
8.328125,9.99E-04,8.328125,0.000149301
8.34375,9.99E-04,8.34375,0.001955655
8.359375,9.99E-04,8.359375,0.005226483
8.375,9.99E-04,8.375,0.009110681
8.390625,9.99E-04,8.390625,0.011916511
8.40625,9.99E-04,8.40625,0.012017061
8.421875,9.99E-04,8.421875,0.009270498
8.4375,9.99E-04,8.4375,0.00540309
8.453125,9.99E-04,8.453125,0.002361093
8.46875,9.99E-04,8.46875,0.000672651
8.484375,9.99E-04,8.484375,0.000121173
8.5,9.99E-04,8.5,0.000405299
8.515625,9.99E-04,8.515625,0.000931877
8.53125,9.99E-04,8.53125,0.00098161
8.546875,9.99E-04,8.546875,0.000519781
8.5625,9.99E-04,8.5625,7.85E-05
8.578125,9.99E-04,8.578125,0.000610482
8.59375,9.99E-04,8.59375,0.00235188
8.609375,9.99E-04,8.609375,0.004600966
8.625,9.99E-04,8.625,0.0066161
8.640625,9.99E-04,8.640625,0.007718315
8.65625,9.99E-04,8.65625,0.007646405
8.671875,9.99E-04,8.671875,0.006647478
8.6875,9.99E-04,8.6875,0.005131423
8.703125,9.99E-04,8.703125,0.003755217
8.71875,9.99E-04,8.71875,0.003292739
8.734375,9.99E-04,8.734375,0.004166966
8.75,9.99E-04,8.75,0.004734726
8.765625,9.99E-04,8.765625,0.004431967
8.78125,9.99E-04,8.78125,0.003443697
8.796875,9.99E-04,8.796875,2.14E-03
8.8125,9.99E-04,8.8125,8.27E-04
8.828125,9.99E-04,8.828125,5.73E-05
8.84375,9.99E-04,8.84375,4.92E-04
8.859375,9.99E-04,8.859375,2.38E-03
8.875,9.99E-04,8.875,5.09E-03
8.890625,9.99E-04,8.890625,0.007621492
8.90625,9.99E-04,8.90625,0.009057885
8.921875,9.99E-04,8.921875,0.009048025
8.9375,9.99E-04,8.9375,0.007673165
8.953125,9.99E-04,8.953125,0.005517037
8.96875,9.99E-04,8.96875,0.003205963
8.984375,9.99E-04,8.984375,0.00176837
9,9.99E-04,9,0.001996616
9.015625,9.99E-04,9.015625,0.004188433
9.03125,9.99E-04,9.03125,0.007864828
9.046875,9.99E-04,9.046875,0.012190776
9.0625,9.99E-04,9.0625,0.015866409
9.078125,9.99E-04,9.078125,0.018007031
9.09375,9.99E-04,9.09375,0.017944493
9.109375,9.99E-04,9.109375,0.015942305
9.125,9.99E-04,9.125,0.01338616
9.140625,9.99E-04,9.140625,0.011444281
9.15625,9.99E-04,9.15625,0.010448597
9.171875,9.99E-04,9.171875,0.010588735
9.1875,9.99E-04,9.1875,0.011561288
9.203125,9.99E-04,9.203125,0.012418031
9.21875,9.99E-04,9.21875,1.22E-02
9.234375,9.99E-04,9.234375,1.10E-02
9.25,9.99E-04,9.25,9.43E-03
9.265625,9.99E-04,9.265625,7.95E-03
9.28125,9.99E-04,9.28125,7.05E-03
9.296875,9.99E-04,9.296875,6.88E-03
9.3125,9.99E-04,9.3125,7.36E-03
9.328125,9.99E-04,9.328125,8.05E-03
9.34375,9.99E-04,9.34375,8.14E-03
9.359375,9.99E-04,9.359375,0.007474743
9.375,9.99E-04,9.375,0.00606311
9.390625,9.99E-04,9.390625,0.004574048
9.40625,9.99E-04,9.40625,0.003296889
9.421875,9.99E-04,9.421875,0.002422462
9.4375,9.99E-04,9.4375,0.002097529
9.453125,9.99E-04,9.453125,0.002264964
9.46875,9.99E-04,9.46875,0.002495893
9.484375,9.99E-04,9.484375,0.002287904
9.5,9.99E-04,9.5,0.001642052
