Bits,InputPower,OutputPower,DelayBit,OutputPowerWithoutDelay,,
3.453125,9.99E-07,2.67E-06,,9.02E-09,,
3.46875,9.99E-07,3.19E-06,,8.93E-09,,
3.484375,9.99E-07,3.77E-06,,9.95E-09,,
3.5,9.99E-07,4.39E-06,,8.34E-09,,
3.515625,9.99E-07,4.71E-06,,8.03E-09,,
3.53125,9.99E-07,4.86E-06,,9.62E-09,,
3.546875,9.99E-07,5.10E-06,,8.06E-09,,
3.5625,9.99E-07,5.19E-06,,7.45E-09,,
3.578125,9.99E-07,4.82E-06,,9.91E-09,,
3.59375,9.99E-07,3.88E-06,,7.56E-09,,
3.609375,9.99E-07,2.66E-06,,8.10E-09,,
3.625,9.99E-07,1.74E-06,,1.01E-08,,
3.640625,9.99E-07,1.20E-06,,7.99E-09,,
3.65625,9.99E-07,8.81E-07,,1.01E-08,,
3.671875,9.99E-07,7.97E-07,,9.49E-09,,
3.6875,9.99E-07,7.65E-07,,1.07E-08,,
3.703125,9.99E-07,9.21E-07,,9.75E-09,,
3.71875,9.99E-07,1.18E-06,,1.14E-08,,
3.734375,9.99E-07,1.39E-06,,1.08E-08,,
3.75,9.99E-07,1.58E-06,,1.03E-08,,
3.765625,9.99E-07,1.54E-06,,1.14E-08,,
3.78125,9.99E-07,1.42E-06,,9.90E-09,,
3.796875,9.99E-07,1.32E-06,,1.02E-08,,
3.8125,9.99E-07,1.32E-06,,1.12E-08,,
3.828125,9.99E-07,1.38E-06,,8.27E-09,,
3.84375,9.99E-07,1.67E-06,,1.16E-08,,
3.859375,9.99E-07,2.04E-06,,8.62E-09,,
3.875,9.99E-07,2.51E-06,,8.25E-09,,
3.890625,9.99E-07,2.96E-06,,1.12E-08,,
3.90625,9.99E-07,3.31E-06,,8.35E-09,,
3.921875,9.99E-07,3.39E-06,,9.20E-09,,
3.9375,9.99E-07,3.43E-06,,9.74E-09,,
3.953125,9.99E-07,3.46E-06,,1.01E-08,,
3.96875,9.99E-07,3.26E-06,,6.80E-09,,
3.984375,9.99E-07,3.08E-06,,1.31E-08,,
4,9.99E-07,2.81E-06,,9.42E-09,,
4.015625,9.99E-07,2.31E-06,,9.14E-09,,
4.03125,9.99E-07,1.84E-06,,1.42E-08,,
4.046875,9.99E-07,1.43E-06,,1.10E-08,,
4.0625,9.99E-07,9.60E-07,,1.01E-08,,
4.078125,9.99E-07,6.41E-07,,1.36E-08,,
4.09375,9.99E-07,4.84E-07,,1.27E-08,,
4.109375,9.99E-07,4.62E-07,,9.21E-09,,
4.125,9.99E-07,3.61E-07,,1.38E-08,,
4.140625,9.99E-07,2.22E-07,,1.20E-08,,
4.15625,9.99E-07,1.47E-07,,8.94E-09,,
4.171875,9.99E-07,1.37E-07,,1.22E-08,,
4.1875,9.99E-07,1.41E-07,,1.20E-08,,
4.203125,9.99E-07,1.22E-07,,8.00E-09,,
4.21875,9.99E-07,9.75E-08,,1.20E-08,,
4.234375,9.99E-07,6.10E-08,,1.06E-08,,
4.25,9.99E-07,3.81E-08,,8.40E-09,,
4.265625,9.99E-07,4.82E-08,,1.03E-08,,
4.28125,9.99E-07,1.32E-07,,1.11E-08,,
4.296875,9.99E-07,2.55E-07,,8.75E-09,,
4.3125,9.99E-07,3.45E-07,,1.24E-08,,
4.328125,9.99E-07,4.14E-07,,1.04E-08,,
4.34375,9.99E-07,5.87E-07,,1.17E-08,,
4.359375,9.99E-07,7.37E-07,,1.20E-08,,
4.375,9.99E-07,6.57E-07,,1.08E-08,,
4.390625,9.99E-07,5.34E-07,,1.33E-08,,
4.40625,9.99E-07,4.91E-07,,1.07E-08,,
4.421875,9.99E-07,5.58E-07,,1.21E-08,,
4.4375,9.99E-07,6.86E-07,,1.20E-08,,
4.453125,9.99E-07,7.59E-07,,1.07E-08,,
4.46875,9.99E-07,8.09E-07,,1.14E-08,,
4.484375,9.99E-07,9.87E-07,,1.05E-08,,
4.5,9.99E-07,1.33E-06,,1.05E-08,,
4.515625,9.99E-07,1.91E-06,,1.04E-08,,
4.53125,9.99E-07,2.26E-06,,9.70E-09,,
4.546875,9.99E-07,2.01E-06,,9.48E-09,,
4.5625,9.99E-07,1.42E-06,,1.11E-08,,
4.578125,9.99E-07,9.76E-07,,8.58E-09,,
4.59375,9.99E-07,6.40E-07,,1.07E-08,,
4.609375,9.99E-07,3.68E-07,,1.26E-08,,
4.625,9.99E-07,2.54E-07,,9.34E-09,,
4.640625,9.99E-07,2.23E-07,,1.17E-08,,
4.65625,9.99E-07,2.04E-07,,1.46E-08,,
4.671875,9.99E-07,2.05E-07,,9.09E-09,,
4.6875,9.99E-07,1.74E-07,,1.28E-08,,
4.703125,9.99E-07,1.41E-07,,1.39E-08,,
4.71875,9.99E-07,8.23E-08,,9.00E-09,,
4.734375,9.99E-07,2.74E-08,,1.17E-08,,
4.75,9.99E-07,1.25E-08,,1.26E-08,,
4.765625,9.99E-07,3.73E-08,,8.88E-09,,
4.78125,9.99E-07,5.66E-08,,1.09E-08,,
4.796875,9.99E-07,3.78E-08,,9.91E-09,,
4.8125,9.99E-07,6.45E-09,,1.09E-08,,
4.828125,9.99E-07,9.40E-09,,8.17E-09,,
4.84375,9.99E-07,5.75E-08,,1.02E-08,,
4.859375,9.99E-07,1.39E-07,,1.03E-08,,
4.875,9.99E-07,2.22E-07,,9.98E-09,,
4.890625,9.99E-07,2.66E-07,,9.44E-09,,
4.90625,9.99E-07,2.73E-07,,1.21E-08,,
4.921875,9.99E-07,2.76E-07,,1.15E-08,,
4.9375,9.99E-07,1.99E-07,,8.11E-09,,
4.953125,9.99E-07,6.46E-08,,1.48E-08,,
4.96875,9.99E-07,2.24E-08,,9.64E-09,,
4.984375,9.99E-07,1.57E-07,,1.09E-08,,
5,9.99E-07,4.11E-07,,1.11E-08,,
5.015625,9.99E-07,6.91E-07,,1.11E-08,,
5.03125,9.99E-07,9.87E-07,,9.33E-09,,
5.046875,9.99E-07,1.43E-06,,1.01E-08,,
5.0625,9.99E-07,1.76E-06,,9.70E-09,,
5.078125,9.99E-07,2.17E-06,,9.87E-09,,
5.09375,9.99E-07,2.36E-06,,7.74E-09,,
5.109375,9.99E-07,2.38E-06,,9.97E-09,,
5.125,9.99E-07,2.37E-06,,1.00E-08,,
5.140625,9.99E-07,2.12E-06,,8.14E-09,,
5.15625,9.99E-07,1.82E-06,,9.96E-09,,
5.171875,9.99E-07,1.66E-06,,1.21E-08,,
5.1875,9.99E-07,1.78E-06,,8.99E-09,,
5.203125,9.99E-07,2.03E-06,,1.06E-08,,
5.21875,9.99E-07,2.50E-06,,1.07E-08,,
5.234375,9.99E-07,3.16E-06,,1.11E-08,,
5.25,9.99E-07,3.75E-06,,8.53E-09,,
5.265625,9.99E-07,4.24E-06,,1.10E-08,,
5.28125,9.99E-07,4.61E-06,,9.68E-09,,
5.296875,9.99E-07,4.73E-06,,9.37E-09,,
5.3125,9.99E-07,4.80E-06,,7.27E-09,,
5.328125,9.99E-07,4.80E-06,,1.04E-08,,
5.34375,9.99E-07,4.70E-06,,8.79E-09,,
5.359375,9.99E-07,4.55E-06,,5.91E-09,,
5.375,9.99E-07,4.01E-06,,1.09E-08,,
5.390625,9.99E-07,3.41E-06,,9.75E-09,,
5.40625,9.99E-07,2.94E-06,,7.61E-09,,
5.421875,9.99E-07,2.55E-06,,9.29E-09,,
5.4375,9.99E-07,2.40E-06,,1.37E-08,,
5.453125,9.99E-07,2.48E-06,,7.26E-09,,
5.46875,9.99E-07,2.43E-06,,9.26E-09,,
5.484375,9.99E-07,2.22E-06,,1.40E-08,,
5.5,9.99E-07,2.35E-06,,8.84E-09,,
5.515625,9.99E-07,2.61E-06,,8.09E-09,,
5.53125,9.99E-07,2.62E-06,,1.28E-08,,
5.546875,9.99E-07,2.46E-06,,1.01E-08,,
5.5625,9.99E-07,2.46E-06,,5.97E-09,,
5.578125,9.99E-07,2.59E-06,,1.27E-08,,
5.59375,9.99E-07,2.86E-06,,1.05E-08,,
5.609375,9.99E-07,3.15E-06,,7.02E-09,,
5.625,9.99E-07,3.58E-06,,1.15E-08,,
5.640625,9.99E-07,4.34E-06,,1.10E-08,,
5.65625,9.99E-07,5.18E-06,,9.93E-09,,
5.671875,9.99E-07,5.88E-06,,9.60E-09,,
5.6875,9.99E-07,6.26E-06,,1.28E-08,,
5.703125,9.99E-07,6.55E-06,,1.08E-08,,
5.71875,9.99E-07,6.83E-06,,9.75E-09,,
5.734375,9.99E-07,6.93E-06,,1.16E-08,,
5.75,9.99E-07,6.49E-06,,1.11E-08,,
5.765625,9.99E-07,6.15E-06,,8.99E-09,,
5.78125,9.99E-07,6.38E-06,,1.03E-08,,
5.796875,9.99E-07,6.87E-06,,1.09E-08,,
5.8125,9.99E-07,7.25E-06,,8.04E-09,,
5.828125,9.99E-07,7.62E-06,,1.07E-08,,
5.84375,9.99E-07,8.20E-06,,9.51E-09,,
5.859375,9.99E-07,9.15E-06,,8.95E-09,,
5.875,9.99E-07,1.03E-05,,1.04E-08,,
5.890625,9.99E-07,1.09E-05,,1.10E-08,,
5.90625,9.99E-07,1.03E-05,,7.83E-09,,
5.921875,9.99E-07,9.09E-06,,1.25E-08,,
5.9375,9.99E-07,8.22E-06,,1.04E-08,,
5.953125,9.99E-07,7.65E-06,,8.61E-09,,
5.96875,9.99E-07,7.38E-06,,1.12E-08,,
5.984375,9.99E-07,7.45E-06,,1.09E-08,,
6,9.99E-07,7.49E-06,,7.99E-09,,
6.015625,9.99E-07,7.63E-06,,8.37E-09,,
6.03125,9.99E-07,7.60E-06,,1.16E-08,,
6.046875,9.99E-07,7.68E-06,,7.39E-09,,
6.0625,9.99E-07,7.81E-06,,7.42E-09,,
6.078125,9.99E-07,8.00E-06,,1.18E-08,,
6.09375,9.99E-07,8.43E-06,,9.00E-09,,
6.109375,9.99E-07,9.28E-06,,8.04E-09,,
6.125,9.99E-07,1.01E-05,,1.14E-08,,
6.140625,9.99E-07,1.05E-05,,1.01E-08,,
6.15625,9.99E-07,1.03E-05,,8.94E-09,,
6.171875,9.99E-07,9.50E-06,,1.00E-08,,
6.1875,9.99E-07,8.64E-06,,9.64E-09,,
6.203125,9.99E-07,7.93E-06,,1.02E-08,,
6.21875,9.99E-07,7.56E-06,,7.58E-09,,
6.234375,9.99E-07,7.45E-06,,9.59E-09,,
6.25,9.99E-07,7.74E-06,,9.88E-09,,
6.265625,9.99E-07,7.88E-06,,8.72E-09,,
6.28125,9.99E-07,8.02E-06,,7.14E-09,,
6.296875,9.99E-07,8.36E-06,,1.25E-08,,
6.3125,9.99E-07,8.35E-06,,9.00E-09,,
6.328125,9.99E-07,7.68E-06,,8.55E-09,,
