InputPower,OutputPowerWithoutDelay,FiberLength,PreviousOutputPowerWithoutDelay
9.99E-07,6.37E-07,10,6.33E-07
9.99E-07,6.28E-07,10,6.37E-07
9.99E-07,6.26E-07,10,6.28E-07
9.99E-07,6.28E-07,10,6.26E-07
9.99E-07,6.31E-07,10,6.28E-07
9.99E-07,6.35E-07,10,6.31E-07
9.99E-07,6.25E-07,10,6.35E-07
9.99E-07,6.36E-07,10,6.25E-07
9.99E-07,6.32E-07,10,6.36E-07
9.99E-07,6.12E-07,10,6.32E-07
9.99E-07,6.04E-07,10,6.12E-07
9.99E-07,6.16E-07,10,6.04E-07
9.99E-07,6.21E-07,10,6.16E-07
9.99E-07,6.29E-07,10,6.21E-07
9.99E-07,6.34E-07,10,6.29E-07
9.99E-07,6.37E-07,10,6.34E-07
9.99E-07,6.54E-07,10,6.37E-07
9.99E-07,6.57E-07,10,6.54E-07
9.99E-07,6.46E-07,10,6.57E-07
9.99E-07,6.53E-07,10,6.46E-07
9.99E-07,6.39E-07,10,6.53E-07
9.99E-07,6.29E-07,10,6.39E-07
9.99E-07,6.36E-07,10,6.29E-07
9.99E-07,6.32E-07,10,6.36E-07
9.99E-07,6.29E-07,10,6.32E-07
9.99E-07,6.38E-07,10,6.29E-07
9.99E-07,6.38E-07,10,6.38E-07
9.99E-07,6.32E-07,10,6.38E-07
9.99E-07,6.25E-07,10,6.32E-07
9.99E-07,6.32E-07,10,6.25E-07
9.99E-07,6.29E-07,10,6.32E-07
9.99E-07,6.18E-07,10,6.29E-07
9.99E-07,6.20E-07,10,6.18E-07
9.99E-07,6.40E-07,10,6.20E-07
9.99E-07,6.30E-07,10,6.40E-07
9.99E-07,6.21E-07,10,6.30E-07
9.99E-07,6.16E-07,10,6.21E-07
9.99E-07,6.18E-07,10,6.16E-07
9.99E-07,6.12E-07,10,6.18E-07
9.99E-07,6.12E-07,10,6.12E-07
9.99E-07,6.12E-07,10,6.12E-07
9.99E-07,6.07E-07,10,6.12E-07
9.99E-07,6.00E-07,10,6.07E-07
9.99E-07,6.08E-07,10,6.00E-07
9.99E-07,6.15E-07,10,6.08E-07
9.99E-07,6.12E-07,10,6.15E-07
9.99E-07,6.14E-07,10,6.12E-07
9.99E-07,6.11E-07,10,6.14E-07
9.99E-07,6.10E-07,10,6.11E-07
9.99E-07,6.24E-07,10,6.10E-07
9.99E-07,6.21E-07,10,6.24E-07
9.99E-07,6.18E-07,10,6.21E-07
9.99E-07,6.09E-07,10,6.18E-07
9.99E-07,6.10E-07,10,6.09E-07
9.99E-07,6.04E-07,10,6.10E-07
9.99E-07,6.12E-07,10,6.04E-07
9.99E-07,6.14E-07,10,6.12E-07
9.99E-07,6.34E-07,10,6.14E-07
9.99E-07,6.44E-07,10,6.34E-07
9.99E-07,6.45E-07,10,6.44E-07
9.99E-07,6.60E-07,10,6.45E-07
9.99E-07,6.68E-07,10,6.60E-07
9.99E-07,6.62E-07,10,6.68E-07
9.99E-07,6.64E-07,10,6.62E-07
