Bits,InputPower,OutputPower
7.328125,9.99E-07,9.07E-08
7.34375,9.99E-07,8.82E-08
7.359375,9.99E-07,9.82E-08
7.375,9.99E-07,8.40E-08
7.390625,9.99E-07,9.59E-08
7.40625,9.99E-07,9.20E-08
7.421875,9.99E-07,9.38E-08
7.4375,9.99E-07,9.91E-08
7.453125,9.99E-07,9.66E-08
7.46875,9.99E-07,1.03E-07
7.484375,9.99E-07,9.18E-08
7.5,9.99E-07,1.08E-07
7.515625,9.99E-07,9.64E-08
7.53125,9.99E-07,1.05E-07
7.546875,9.99E-07,9.62E-08
7.5625,9.99E-07,1.14E-07
7.578125,9.99E-07,9.20E-08
7.59375,9.99E-07,1.14E-07
7.609375,9.99E-07,1.04E-07
7.625,9.99E-07,1.07E-07
7.640625,9.99E-07,1.11E-07
7.65625,9.99E-07,1.11E-07
7.671875,9.99E-07,1.05E-07
7.6875,9.99E-07,1.15E-07
7.703125,9.99E-07,1.01E-07
7.71875,9.99E-07,1.17E-07
7.734375,9.99E-07,9.51E-08
7.75,9.99E-07,1.14E-07
7.765625,9.99E-07,1.07E-07
7.78125,9.99E-07,9.95E-08
7.796875,9.99E-07,1.07E-07
7.8125,9.99E-07,1.04E-07
7.828125,9.99E-07,9.71E-08
7.84375,9.99E-07,1.10E-07
7.859375,9.99E-07,1.02E-07
7.875,9.99E-07,1.02E-07
7.890625,9.99E-07,1.11E-07
7.90625,9.99E-07,9.20E-08
7.921875,9.99E-07,1.17E-07
7.9375,9.99E-07,8.49E-08
7.953125,9.99E-07,1.18E-07
7.96875,9.99E-07,1.05E-07
7.984375,9.99E-07,9.92E-08
8,9.99E-07,1.22E-07
8.015625,9.99E-07,1.02E-07
8.03125,9.99E-07,1.07E-07
8.046875,9.99E-07,1.07E-07
8.0625,9.99E-07,9.70E-08
8.078125,9.99E-07,1.15E-07
8.09375,9.99E-07,9.41E-08
8.109375,9.99E-07,1.13E-07
8.125,9.99E-07,1.07E-07
8.140625,9.99E-07,1.01E-07
8.15625,9.99E-07,1.16E-07
8.171875,9.99E-07,1.06E-07
8.1875,9.99E-07,1.04E-07
8.203125,9.99E-07,1.14E-07
8.21875,9.99E-07,9.56E-08
8.234375,9.99E-07,1.15E-07
8.25,9.99E-07,8.91E-08
8.265625,9.99E-07,1.18E-07
8.28125,9.99E-07,9.44E-08
8.296875,9.99E-07,1.07E-07
8.3125,9.99E-07,1.01E-07
8.328125,9.99E-07,1.08E-07
8.34375,9.99E-07,9.61E-08
8.359375,9.99E-07,1.10E-07
8.375,9.99E-07,9.85E-08
8.390625,9.99E-07,1.01E-07
8.40625,9.99E-07,9.20E-08
8.421875,9.99E-07,1.03E-07
8.4375,9.99E-07,9.63E-08
8.453125,9.99E-07,9.48E-08
8.46875,9.99E-07,1.01E-07
8.484375,9.99E-07,9.76E-08
8.5,9.99E-07,9.76E-08
8.515625,9.99E-07,9.25E-08
8.53125,9.99E-07,9.94E-08
8.546875,9.99E-07,8.98E-08
8.5625,9.99E-07,9.36E-08
8.578125,9.99E-07,9.64E-08
8.59375,9.99E-07,9.04E-08
8.609375,9.99E-07,9.51E-08
8.625,9.99E-07,8.68E-08
8.640625,9.99E-07,1.04E-07
8.65625,9.99E-07,8.52E-08
8.671875,9.99E-07,9.78E-08
8.6875,9.99E-07,9.43E-08
8.703125,9.99E-07,9.83E-08
8.71875,9.99E-07,9.35E-08
8.734375,9.99E-07,1.02E-07
8.75,9.99E-07,9.75E-08
8.765625,9.99E-07,1.01E-07
8.78125,9.99E-07,9.39E-08
8.796875,9.99E-07,1.11E-07
8.8125,9.99E-07,9.43E-08
8.828125,9.99E-07,1.08E-07
8.84375,9.99E-07,9.51E-08
8.859375,9.99E-07,1.14E-07
8.875,9.99E-07,9.28E-08
8.890625,9.99E-07,1.10E-07
8.90625,9.99E-07,9.84E-08
8.921875,9.99E-07,1.06E-07
8.9375,9.99E-07,9.75E-08
8.953125,9.99E-07,1.06E-07
8.96875,9.99E-07,1.08E-07
8.984375,9.99E-07,9.93E-08
9,9.99E-07,1.09E-07
9.015625,9.99E-07,1.04E-07
9.03125,9.99E-07,1.09E-07
9.046875,9.99E-07,9.93E-08
9.0625,9.99E-07,1.08E-07
9.078125,9.99E-07,1.07E-07
9.09375,9.99E-07,1.04E-07
9.109375,9.99E-07,1.05E-07
9.125,9.99E-07,1.13E-07
9.140625,9.99E-07,1.04E-07
9.15625,9.99E-07,1.11E-07
9.171875,9.99E-07,9.73E-08
9.1875,9.99E-07,1.17E-07
9.203125,9.99E-07,9.47E-08
9.21875,9.99E-07,1.07E-07
9.234375,9.99E-07,9.83E-08
9.25,9.99E-07,1.06E-07
9.265625,9.99E-07,9.33E-08
9.28125,9.99E-07,1.01E-07
9.296875,9.99E-07,9.47E-08
9.3125,9.99E-07,1.00E-07
9.328125,9.99E-07,8.33E-08
9.34375,9.99E-07,1.05E-07
9.359375,9.99E-07,8.32E-08
9.375,9.99E-07,1.03E-07
9.390625,9.99E-07,8.05E-08
9.40625,9.99E-07,1.08E-07
9.421875,9.99E-07,8.67E-08
9.4375,9.99E-07,9.72E-08
9.453125,9.99E-07,8.86E-08
9.46875,9.99E-07,9.99E-08
9.484375,9.99E-07,9.39E-08
9.5,9.99E-07,9.29E-08
9.515625,9.99E-07,9.56E-08
9.53125,9.99E-07,1.02E-07
9.546875,9.99E-07,9.49E-08
9.5625,9.99E-07,9.88E-08
9.578125,9.99E-07,9.94E-08
9.59375,9.99E-07,1.02E-07
9.609375,9.99E-07,9.29E-08
9.625,9.99E-07,9.94E-08
9.640625,9.99E-07,1.00E-07
9.65625,9.99E-07,1.04E-07
9.671875,9.99E-07,9.31E-08
9.6875,9.99E-07,1.06E-07
9.703125,9.99E-07,9.53E-08
9.71875,9.99E-07,1.06E-07
9.734375,9.99E-07,9.04E-08
9.75,9.99E-07,1.08E-07
9.765625,9.99E-07,9.46E-08
9.78125,9.99E-07,1.01E-07
9.796875,9.99E-07,9.07E-08
9.8125,9.99E-07,1.02E-07
9.828125,9.99E-07,9.85E-08
9.84375,9.99E-07,9.64E-08
9.859375,9.99E-07,9.75E-08
9.875,9.99E-07,9.99E-08
9.890625,9.99E-07,9.74E-08
9.90625,9.99E-07,9.44E-08
9.921875,9.99E-07,9.67E-08
9.9375,9.99E-07,1.01E-07
9.953125,9.99E-07,9.70E-08
9.96875,9.99E-07,9.50E-08
9.984375,9.99E-07,9.70E-08
10,9.99E-07,1.04E-07
10.015625,9.99E-07,1.01E-07
10.03125,9.99E-07,9.65E-08
10.046875,9.99E-07,1.02E-07
10.0625,9.99E-07,1.04E-07
10.078125,9.99E-07,1.00E-07
10.09375,9.99E-07,1.01E-07
10.109375,9.99E-07,9.91E-08
10.125,9.99E-07,1.10E-07
10.140625,9.99E-07,9.93E-08
10.15625,9.99E-07,1.05E-07
10.171875,9.99E-07,1.03E-07
10.1875,9.99E-07,1.10E-07
10.203125,9.99E-07,1.04E-07
